HAMILTON
5 - 4:109.747, 1(Clear)
5 - 5:117.757, 1(Clear)
5 - 6:106.534, 1(Clear)
5 - 7:106.765, 1(Clear)
5 - 8:106.558, 1(Clear)
5 - 9:107.014, 1(Clear)
5 - 10:107.637, 1(Clear)
5 - 11:108.5, 1(Clear)
5 - 12:106.975, 1(Clear)
5 - 13:111.539, 2(Clear)
5 - 14:124.534, 0(Clear)
5 - 15:105.956, 1(Clear)
5 - 16:105.372, 1(Clear)
5 - 17:105.803, 1(Clear)
5 - 18:105.523, 1(Clear)
5 - 19:106.284, 1(Clear)
5 - 20:105.774, 1(Clear)
5 - 21:105.527, 1(Clear)
5 - 22:105.706, 1(Clear)
5 - 23:106.133, 1(Clear)
5 - 24:107.305, 1(Clear)
5 - 25:106.131, 1(Clear)
5 - 26:106.286, 1(Clear)
5 - 27:106.361, 1(Clear)
5 - 28:107.441, 1(Clear)
5 - 29:106.618, 1(Clear)
5 - 30:106.653, 1(Clear)
5 - 31:106.702, 1(Clear)
5 - 32:106.852, 1(Clear)
5 - 33:110.889, 2(Clear)
5 - 34:123.968, 0(Clear)
5 - 35:105.144, 1(Clear)
5 - 36:104.59, 1(Clear)
5 - 37:104.432, 1(Clear)
5 - 38:104.393, 1(Clear)
5 - 39:104.124, 1(Clear)
5 - 40:104.571, 1(Clear)
5 - 41:104.817, 1(Clear)
5 - 42:104.652, 1(Clear)
5 - 43:105.119, 1(Clear)
5 - 44:104.951, 1(Clear)
5 - 45:105.032, 1(Clear)
5 - 46:105.25, 1(Clear)
5 - 47:105.304, 1(Clear)
5 - 48:105.059, 1(Clear)
5 - 49:104.799, 1(Clear)
5 - 50:104.987, 1(Clear)
5 - 51:105.021, 1(Clear)
5 - 52:105.405, 1(Clear)
5 - 53:105.413, 1(Clear)
5 - 54:105.647, 1(Clear)
5 - 55:106.455, 1(Clear)
RICCIARDO
6 - 0:114.494, 1(Clear)
6 - 1:107.416, 1(Clear)
6 - 2:107.785, 1(Clear)
6 - 3:132.388, 2(Clear)
6 - 4:161.563, 0(Clear)
6 - 5:142.161, 1(Clear)
6 - 6:108.247, 1(Clear)
6 - 7:107.893, 1(Clear)
6 - 8:108.06, 1(Clear)
6 - 9:108.07, 1(Clear)
6 - 10:108.765, 1(Clear)
6 - 11:109.743, 1(Clear)
6 - 12:109.57, 1(Clear)
6 - 13:110.352, 1(Clear)
6 - 14:109.627, 1(Clear)
6 - 15:109.008, 1(Clear)
6 - 16:110.431, 1(Clear)
6 - 17:114.534, 2(Clear)
6 - 18:127.348, 0(Clear)
6 - 19:106.262, 1(Clear)
6 - 20:106.763, 1(Clear)
6 - 21:106.653, 1(Clear)
6 - 22:107.978, 1(Clear)
6 - 23:108.478, 1(Clear)
6 - 24:108.456, 1(Clear)
6 - 25:110.288, 1(Clear)
6 - 26:107.826, 1(Clear)
6 - 27:106.8, 1(Clear)
6 - 28:107.108, 1(Clear)
6 - 29:107.617, 1(Clear)
6 - 30:107.153, 1(Clear)
6 - 31:107.176, 1(Clear)
6 - 32:107.786, 1(Clear)
6 - 33:111.197, 2(Clear)
6 - 34:126.164, 0(Clear)
6 - 35:105.371, 1(Clear)
6 - 36:105.504, 1(Clear)
6 - 37:105.357, 1(Clear)
6 - 38:105.445, 1(Clear)
6 - 39:105.379, 1(Clear)
6 - 40:106.197, 1(Clear)
6 - 41:105.312, 1(Clear)
6 - 42:105.43, 1(Clear)
6 - 43:105.544, 1(Clear)
6 - 44:105.735, 1(Clear)
6 - 45:105.836, 1(Clear)
6 - 46:105.948, 1(Clear)
6 - 47:106.444, 1(Clear)
6 - 48:105.48, 1(Clear)
6 - 49:105.568, 1(Clear)
6 - 50:105.789, 1(Clear)
6 - 52:109.658, 1(Clear)
6 - 53:107.324, 1(Clear)
6 - 54:107.117, 1(Clear)
6 - 55:111.259, 1(Clear)
KVYAT
7 - 0:116.397, 1(Clear)
7 - 1:108.496, 1(Clear)
7 - 2:108.076, 1(Clear)
7 - 3:133.743, 2(Clear)
7 - 4:163.662, 0(Clear)
7 - 5:137.591, 1(Clear)
7 - 6:108.538, 1(Clear)
7 - 7:108.717, 1(Clear)
7 - 8:108.23, 1(Clear)
7 - 9:108.967, 1(Clear)
7 - 10:108.299, 1(Clear)
7 - 11:108.299, 1(Clear)
7 - 12:108.787, 1(Clear)
7 - 13:110.055, 1(Clear)
7 - 14:109.559, 1(Clear)
7 - 15:109.032, 1(Clear)
7 - 16:109.436, 1(Clear)
7 - 17:108.582, 1(Clear)
7 - 18:109.063, 1(Clear)
7 - 19:109.611, 1(Clear)
7 - 20:112.21, 2(Clear)
7 - 21:126.136, 0(Clear)
7 - 22:105.747, 1(Clear)
7 - 23:106.636, 1(Clear)
7 - 24:108.436, 1(Clear)
7 - 25:113.732, 1(Clear)
7 - 26:106.594, 1(Clear)
7 - 27:107.731, 1(Clear)
7 - 28:107.955, 1(Clear)
7 - 29:106.577, 1(Clear)
7 - 30:107.016, 1(Clear)
7 - 31:106.901, 1(Clear)
7 - 32:106.665, 1(Clear)
7 - 33:106.862, 1(Clear)
7 - 34:107.11, 1(Clear)
7 - 35:107.124, 1(Clear)
7 - 36:107.126, 1(Clear)
7 - 37:107.38, 1(Clear)
7 - 38:111.137, 2(Clear)
7 - 39:126.319, 0(Clear)
7 - 40:104.514, 1(Clear)
7 - 41:104.835, 1(Clear)
7 - 42:104.61, 1(Clear)
7 - 43:104.814, 1(Clear)
7 - 44:104.64, 1(Clear)
7 - 45:104.757, 1(Clear)
7 - 46:105.437, 1(Clear)
7 - 47:105.044, 1(Clear)
7 - 48:104.747, 1(Clear)
7 - 49:105.124, 1(Clear)
7 - 50:105.129, 1(Clear)
7 - 52:107.729, 1(Clear)
7 - 53:106.114, 1(Clear)
7 - 54:106.182, 1(Clear)
7 - 55:106.719, 1(Clear)
ALONSO
8 - 0:121.628, 1(Clear)
8 - 1:111.375, 1(Clear)
8 - 2:110.25, 1(Clear)
8 - 3:138.361, 2(Clear)
8 - 4:158.864, 0(Clear)
8 - 5:129.49, 1(Clear)
8 - 6:108.572, 1(Clear)
8 - 7:109.31, 1(Clear)
8 - 8:109.255, 1(Clear)
8 - 9:109.98, 1(Clear)
8 - 10:108.813, 1(Clear)
8 - 11:109.204, 1(Clear)
8 - 12:109.246, 1(Clear)
8 - 13:109.523, 1(Clear)
8 - 14:109.511, 1(Clear)
8 - 15:108.996, 1(Clear)
8 - 16:108.46, 1(Clear)
8 - 17:108.533, 1(Clear)
8 - 18:108.588, 1(Clear)
8 - 19:108.606, 1(Clear)
8 - 20:129.704, 2(Retire)
BUTTON
9 - 0:122.563, 1(Clear)
9 - 1:110.898, 1(Clear)
9 - 2:110.469, 1(Clear)
9 - 3:143.593, 2(Clear)
9 - 4:166.724, 0(Clear)
9 - 5:120.991, 1(Clear)
9 - 6:108.321, 1(Clear)
9 - 7:108.381, 1(Clear)
9 - 8:108.576, 1(Clear)
9 - 9:109.181, 1(Clear)
9 - 10:109.002, 1(Clear)
9 - 11:108.804, 1(Clear)
9 - 12:108.87, 1(Clear)
9 - 13:109.019, 1(Clear)
9 - 14:109.728, 1(Clear)
9 - 15:109.554, 1(Clear)
9 - 16:109.555, 1(Clear)
9 - 17:109.438, 1(Clear)
9 - 18:110.118, 1(Clear)
9 - 19:109.109, 1(Clear)
9 - 20:114.608, 2(Clear)
9 - 21:127.332, 0(Clear)
9 - 22:107.087, 1(Clear)
9 - 23:107.273, 1(Clear)
9 - 24:107.357, 1(Clear)
9 - 25:107.521, 1(Clear)
