HAMILTON
3 - 35:88.079, 1(Clear)(-0)
3 - 36:88.102, 1(Clear)(-0)
3 - 37:88.169, 1(Clear)(-0)
3 - 38:88.103, 1(Clear)(-0)
3 - 39:88.138, 1(Clear)(-0)
3 - 40:88.29499, 1(Clear)(-0)
3 - 41:88, 1(Clear)(-0)
3 - 42:87.825, 1(Clear)(-0)
3 - 43:87.72599, 1(Clear)(-0)
3 - 44:87.65701, 1(Clear)(-0)
3 - 45:87.782, 1(Clear)(-0)
3 - 46:87.59599, 1(Clear)(-0)
3 - 47:87.862, 1(Clear)(-0)
3 - 48:87.52499, 1(Clear)(-0)
3 - 49:87.777, 1(Clear)(-0)
3 - 50:88.365, 1(Clear)(-0)
3 - 51:88.354, 1(Clear)(-0)
3 - 52:89.445, 1(Clear)(-0)
VETTEL
4 - 0:91.216, 1(Clear)(-0)
4 - 1:88.611, 1(Clear)(-0)
4 - 2:88.686, 1(Clear)(-0)
4 - 3:88.35001, 1(Clear)(-0)
4 - 4:88.535, 1(Clear)(-0)
4 - 5:88.31801, 1(Clear)(-0)
4 - 6:88.495, 1(Clear)(-0)
4 - 7:88.62, 1(Clear)(-0)
4 - 8:88.698, 1(Clear)(-0)
4 - 9:88.598, 1(Clear)(-0)
4 - 10:88.618, 1(Clear)(-0)
4 - 11:88.619, 1(Clear)(-0)
4 - 12:88.672, 1(Clear)(-0)
4 - 13:88.688, 1(Clear)(-0)
4 - 14:88.716, 1(Clear)(-0)
4 - 15:88.643, 1(Clear)(-0)
4 - 16:88.872, 1(Clear)(-0)
4 - 17:88.986, 1(Clear)(-0)
4 - 18:89.05701, 1(Clear)(-0)
4 - 19:89.572, 1(Clear)(-0)
4 - 20:89.26399, 1(Clear)(-0)
4 - 21:89.119, 1(Clear)(-0)
4 - 22:89.70599, 1(Clear)(-0)
4 - 23:89.43, 1(Clear)(-0)
4 - 24:93.946, 2(Clear)(-0)
4 - 25:108.937, 0(Clear)(-0)
4 - 26:88.288, 1(Clear)(-0)
4 - 27:87.548, 1(Clear)(-0)
4 - 28:88.003, 1(Clear)(-0)
4 - 29:88.103, 1(Clear)(-0)
4 - 30:87.69599, 1(Clear)(-0)
4 - 31:87.661, 1(Clear)(-0)
4 - 32:87.76499, 1(Clear)(-0)
4 - 33:87.656, 1(Clear)(-0)
4 - 34:88.23299, 1(Clear)(-0)
4 - 35:87.832, 1(Clear)(-0)
4 - 36:87.607, 1(Clear)(-0)
4 - 37:88.004, 1(Clear)(-0)
4 - 38:87.615, 1(Clear)(-0)
4 - 39:87.882, 1(Clear)(-0)
4 - 40:87.615, 1(Clear)(-0)
4 - 41:87.394, 1(Clear)(-0)
4 - 42:87.39, 1(Clear)(-0)
4 - 43:87.509, 1(Clear)(-0)
4 - 44:87.738, 1(Clear)(-0)
4 - 45:87.391, 1(Clear)(-0)
4 - 46:87.591, 1(Clear)(-0)
4 - 47:87.492, 1(Clear)(-0)
4 - 48:87.68999, 1(Clear)(-0)
4 - 49:87.711, 1(Clear)(-0)
4 - 50:87.59299, 1(Clear)(-0)
4 - 51:87.376, 1(Clear)(-0)
4 - 52:88.375, 1(Clear)(-0)
RAIKKONEN
5 - 0:100.589, 1(Clear)(-0)
5 - 1:90.866, 1(Clear)(-0)
5 - 2:91.12099, 1(Clear)(-0)
5 - 3:90.872, 1(Clear)(-0)
5 - 4:90.539, 1(Clear)(-0)
5 - 5:89.912, 1(Clear)(-0)
5 - 6:89.253, 1(Clear)(-0)
5 - 7:89.27399, 1(Clear)(-0)
5 - 8:89.252, 1(Clear)(-0)
5 - 9:89.382, 1(Clear)(-0)
5 - 10:89.24599, 1(Clear)(-0)
5 - 11:89.49599, 1(Clear)(-0)
5 - 12:89.081, 1(Clear)(-0)
5 - 13:89.27499, 1(Clear)(-0)
5 - 14:89.19499, 1(Clear)(-0)
5 - 15:89.346, 1(Clear)(-0)
5 - 16:89.327, 1(Clear)(-0)
5 - 17:89.257, 1(Clear)(-0)
5 - 18:89.306, 1(Clear)(-0)
5 - 19:88.90701, 1(Clear)(-0)
5 - 20:89.333, 1(Clear)(-0)
5 - 21:89.29499, 1(Clear)(-0)
5 - 22:89.355, 1(Clear)(-0)
5 - 23:89.243, 1(Clear)(-0)
5 - 24:89.185, 1(Clear)(-0)
5 - 25:89.37801, 1(Clear)(-0)
5 - 26:90.076, 1(Clear)(-0)
5 - 27:95.303, 2(Clear)(-0)
5 - 28:109.169, 0(Clear)(-0)
5 - 29:88.281, 1(Clear)(-0)
5 - 30:88.686, 1(Clear)(-0)
5 - 31:88.22199, 1(Clear)(-0)
5 - 32:87.748, 1(Clear)(-0)
5 - 33:88.034, 1(Clear)(-0)
5 - 34:88.542, 1(Clear)(-0)
5 - 35:87.94, 1(Clear)(-0)
5 - 36:88.107, 1(Clear)(-0)
5 - 37:88.25999, 1(Clear)(-0)
5 - 38:88.3, 1(Clear)(-0)
5 - 39:88.207, 1(Clear)(-0)
5 - 40:87.994, 1(Clear)(-0)
5 - 41:87.713, 1(Clear)(-0)
5 - 42:87.584, 1(Clear)(-0)
5 - 43:87.87, 1(Clear)(-0)
5 - 44:87.744, 1(Clear)(-0)
5 - 45:87.983, 1(Clear)(-0)
5 - 46:88.079, 1(Clear)(-0)
5 - 47:88.22199, 1(Clear)(-0)
5 - 48:88.054, 1(Clear)(-0)
5 - 49:88.502, 1(Clear)(-0)
5 - 50:88.601, 1(Clear)(-0)
5 - 51:88.55701, 1(Clear)(-0)
5 - 52:88.485, 1(Clear)(-0)
RICCIARDO
6 - 0:99.754, 1(Clear)(-0)
6 - 1:91.44701, 1(Clear)(-0)
6 - 2:91.935, 1(Clear)(-0)
6 - 3:91.48801, 1(Clear)(-0)
6 - 4:90.371, 1(Clear)(-0)
6 - 5:90.79299, 1(Clear)(-0)
6 - 6:91.43, 1(Clear)(-0)
6 - 7:90.373, 1(Clear)(-0)
6 - 8:90.34, 1(Clear)(-0)
6 - 9:90.17, 1(Clear)(-0)
6 - 10:89.997, 1(Clear)(-0)
6 - 11:90.284, 1(Clear)(-0)
6 - 12:90.051, 1(Clear)(-0)
6 - 13:90.101, 1(Clear)(-0)
6 - 14:89.831, 1(Clear)(-0)
6 - 15:89.865, 1(Clear)(-0)
6 - 16:89.79099, 1(Clear)(-0)
6 - 17:89.785, 1(Clear)(-0)
6 - 18:89.883, 1(Clear)(-0)
6 - 19:89.997, 1(Clear)(-0)
6 - 20:89.78999, 1(Clear)(-0)
6 - 21:89.843, 1(Clear)(-0)
6 - 22:89.431, 1(Clear)(-0)
6 - 23:89.644, 1(Clear)(-0)
6 - 24:89.22499, 1(Clear)(-0)
6 - 25:89.546, 1(Clear)(-0)
6 - 26:89.536, 1(Clear)(-0)
6 - 27:90.404, 1(Clear)(-0)
6 - 28:90.385, 1(Clear)(-0)
6 - 29:93.87901, 2(Clear)(-0)
6 - 30:108.642, 0(Clear)(-0)
6 - 31:88.27, 1(Clear)(-0)
6 - 32:88.618, 1(Clear)(-0)
6 - 33:88.69199, 1(Clear)(-0)
6 - 34:88.47, 1(Clear)(-0)
6 - 35:88.371, 1(Clear)(-0)
6 - 36:88.52, 1(Clear)(-0)
6 - 37:88.52, 1(Clear)(-0)
6 - 38:88.285, 1(Clear)(-0)
6 - 39:88.142, 1(Clear)(-0)
6 - 40:88.09, 1(Clear)(-0)
6 - 41:88.156, 1(Clear)(-0)
6 - 42:88.17, 1(Clear)(-0)
6 - 43:88.356, 1(Clear)(-0)
6 - 44:88.16399, 1(Clear)(-0)
6 - 45:88.144, 1(Clear)(-0)
6 - 46:88.097, 1(Clear)(-0)
6 - 47:88.522, 1(Clear)(-0)
6 - 49:89.999, 1(Clear)(-0)
6 - 50:88.06499, 1(Clear)(-0)
6 - 51:88.137, 1(Clear)(-0)
6 - 52:88.209, 1(Clear)(-0)
0 - 52:0, 1(Clear)(-1)
KVYAT
7 - 0:100.893, 1(Clear)(-0)
7 - 1:92.55801, 1(Clear)(-0)
7 - 2:91.369, 1(Clear)(-0)
7 - 3:91.069, 1(Clear)(-0)
7 - 4:90.63, 1(Clear)(-0)
7 - 5:90.12, 1(Clear)(-0)
7 - 6:91.339, 1(Clear)(-0)
7 - 7:90.59499, 1(Clear)(-0)
7 - 8:90.79199, 1(Clear)(-0)
7 - 9:90.682, 1(Clear)(-0)
7 - 10:90.061, 1(Clear)(-0)
7 - 11:89.95901, 1(Clear)(-0)
7 - 12:90.004, 1(Clear)(-0)
7 - 13:90.35901, 1(Clear)(-0)
7 - 14:90.179, 1(Clear)(-0)
7 - 15:90.386, 1(Clear)(-0)
7 - 16:90.02299, 1(Clear)(-0)
