HAMILTON
3 - 27:73.1, 1(Clear)(-0)
3 - 28:72.998, 1(Clear)(-0)
3 - 29:72.674, 1(Clear)(-0)
3 - 30:72.619, 1(Clear)(-0)
3 - 31:72.84901, 1(Clear)(-0)
3 - 32:73.006, 1(Clear)(-0)
3 - 33:73.38901, 1(Clear)(-0)
3 - 34:73.398, 1(Clear)(-0)
3 - 35:74.611, 1(Clear)(-0)
3 - 36:73.35701, 1(Clear)(-0)
3 - 37:74.324, 1(Clear)(-0)
3 - 38:73.119, 1(Clear)(-0)
3 - 39:72.916, 1(Clear)(-0)
3 - 40:73.19099, 1(Clear)(-0)
3 - 41:72.80901, 1(Clear)(-0)
3 - 42:72.74599, 1(Clear)(-0)
3 - 43:72.506, 1(Clear)(-0)
3 - 44:72.892, 1(Clear)(-0)
3 - 45:73.469, 1(Clear)(-0)
3 - 46:72.682, 1(Clear)(-0)
3 - 47:72.55901, 1(Clear)(-0)
3 - 48:72.437, 1(Clear)(-0)
3 - 49:72.327, 1(Clear)(-0)
3 - 50:72.298, 1(Clear)(-0)
3 - 51:72.248, 1(Clear)(-0)
3 - 52:72.38701, 1(Clear)(-0)
3 - 53:72.9, 1(Clear)(-0)
3 - 54:72.437, 1(Clear)(-0)
3 - 55:72.304, 1(Clear)(-0)
3 - 56:72.38701, 1(Clear)(-0)
3 - 57:72.372, 1(Clear)(-0)
3 - 58:72.527, 1(Clear)(-0)
3 - 59:72.454, 1(Clear)(-0)
3 - 60:72.528, 1(Clear)(-0)
3 - 61:72.444, 1(Clear)(-0)
3 - 62:72.59399, 1(Clear)(-0)
3 - 63:72.769, 1(Clear)(-0)
3 - 64:72.891, 1(Clear)(-0)
3 - 65:72.72199, 1(Clear)(-0)
3 - 66:72.674, 1(Clear)(-0)
3 - 67:73.06499, 1(Clear)(-0)
3 - 68:72.886, 1(Clear)(-0)
3 - 69:72.772, 1(Clear)(-0)
3 - 70:73.438, 1(Clear)(-0)
VETTEL
4 - 0:95.35201, 1(Clear)(-0)
4 - 1:137.731, 1(Clear)(-0)
4 - 2:124.86, 1(Clear)(-0)
4 - 3:118.449, 1(Clear)(-0)
4 - 4:113.492, 1(Clear)(-0)
4 - 5:108.979, 1(Clear)(-0)
4 - 6:75.22299, 1(Clear)(-0)
4 - 7:73.836, 1(Clear)(-0)
4 - 8:73.41901, 1(Clear)(-0)
4 - 9:72.896, 1(Clear)(-0)
4 - 10:72.811, 1(Clear)(-0)
4 - 11:72.822, 1(Clear)(-0)
4 - 12:72.677, 1(Clear)(-0)
4 - 13:72.768, 1(Clear)(-0)
4 - 14:72.913, 1(Clear)(-0)
4 - 15:72.73299, 1(Clear)(-0)
4 - 16:72.53, 1(Clear)(-0)
4 - 17:72.529, 1(Clear)(-0)
4 - 18:72.346, 1(Clear)(-0)
4 - 19:72.866, 1(Clear)(-0)
4 - 20:72.963, 1(Clear)(-0)
4 - 21:72.677, 1(Clear)(-0)
4 - 22:72.673, 1(Clear)(-0)
4 - 23:72.943, 1(Clear)(-0)
4 - 24:73.042, 1(Clear)(-0)
4 - 25:73.313, 1(Clear)(-0)
4 - 26:72.94801, 1(Clear)(-0)
4 - 27:73.076, 1(Clear)(-0)
4 - 28:72.939, 1(Clear)(-0)
4 - 29:73.006, 1(Clear)(-0)
4 - 30:72.745, 1(Clear)(-0)
4 - 31:73.17599, 1(Clear)(-0)
4 - 32:72.981, 1(Clear)(-0)
4 - 33:72.87901, 1(Clear)(-0)
4 - 34:72.894, 1(Clear)(-0)
4 - 35:76.95801, 2(Clear)(-0)
4 - 36:99.811, 0(Clear)(-0)
4 - 37:72.314, 1(Clear)(-0)
4 - 38:71.839, 1(Clear)(-0)
4 - 39:72.069, 1(Clear)(-0)
4 - 40:71.898, 1(Clear)(-0)
4 - 41:71.891, 1(Clear)(-0)
4 - 42:71.72499, 1(Clear)(-0)
4 - 43:71.499, 1(Clear)(-0)
4 - 44:71.573, 1(Clear)(-0)
4 - 45:71.787, 1(Clear)(-0)
4 - 46:71.98901, 1(Clear)(-0)
4 - 47:71.921, 1(Clear)(-0)
4 - 48:72.23399, 1(Clear)(-0)
4 - 49:71.881, 1(Clear)(-0)
4 - 50:71.72399, 1(Clear)(-0)
4 - 51:71.80801, 1(Clear)(-0)
4 - 52:72.01801, 1(Clear)(-0)
4 - 53:72.008, 1(Clear)(-0)
4 - 54:71.783, 1(Clear)(-0)
4 - 55:71.62599, 1(Clear)(-0)
4 - 56:71.555, 1(Clear)(-0)
4 - 57:71.66499, 1(Clear)(-0)
4 - 58:71.759, 1(Clear)(-0)
4 - 59:71.68, 1(Clear)(-0)
4 - 60:71.649, 1(Clear)(-0)
4 - 61:71.826, 1(Clear)(-0)
4 - 62:71.67599, 1(Clear)(-0)
4 - 63:71.539, 1(Clear)(-0)
4 - 64:71.72299, 1(Clear)(-0)
4 - 65:71.79199, 1(Clear)(-0)
4 - 66:72.421, 1(Clear)(-0)
4 - 67:71.905, 1(Clear)(-0)
4 - 68:71.816, 1(Clear)(-0)
4 - 69:72.147, 1(Clear)(-0)
4 - 70:72.115, 1(Clear)(-0)
RAIKKONEN
5 - 0:0, 2(Retire)(-0)
RICCIARDO
6 - 0:107.791, 1(Clear)(-0)
6 - 1:137.708, 1(Clear)(-0)
6 - 2:124.128, 1(Clear)(-0)
6 - 3:119.923, 1(Clear)(-0)
6 - 4:111.412, 1(Clear)(-0)
6 - 5:101.619, 1(Clear)(-0)
6 - 6:77.494, 1(Clear)(-0)
6 - 7:75.671, 1(Clear)(-0)
6 - 8:75.099, 1(Clear)(-0)
6 - 9:74.829, 1(Clear)(-0)
6 - 10:74.376, 1(Clear)(-0)
6 - 11:74.463, 1(Clear)(-0)
6 - 12:74.283, 1(Clear)(-0)
6 - 13:74.583, 1(Clear)(-0)
6 - 14:74.288, 1(Clear)(-0)
6 - 15:74.188, 1(Clear)(-0)
6 - 16:74.28999, 1(Clear)(-0)
6 - 17:74.116, 1(Clear)(-0)
6 - 18:74.037, 1(Clear)(-0)
6 - 19:74.144, 1(Clear)(-0)
6 - 20:74.071, 1(Clear)(-0)
6 - 21:74.08701, 1(Clear)(-0)
6 - 22:74.13, 1(Clear)(-0)
6 - 23:74.277, 1(Clear)(-0)
6 - 24:73.985, 1(Clear)(-0)
6 - 25:74.071, 1(Clear)(-0)
6 - 26:74.16, 1(Clear)(-0)
6 - 27:73.925, 1(Clear)(-0)
6 - 28:74.031, 1(Clear)(-0)
6 - 29:73.862, 1(Clear)(-0)
6 - 30:73.76399, 1(Clear)(-0)
6 - 31:73.929, 1(Clear)(-0)
6 - 32:73.801, 1(Clear)(-0)
6 - 33:73.718, 1(Clear)(-0)
6 - 34:73.512, 1(Clear)(-0)
6 - 35:73.697, 1(Clear)(-0)
6 - 36:73.941, 1(Clear)(-0)
6 - 37:73.94901, 1(Clear)(-0)
6 - 38:74.329, 1(Clear)(-0)
6 - 39:74.12599, 1(Clear)(-0)
6 - 40:73.846, 1(Clear)(-0)
6 - 41:73.755, 1(Clear)(-0)
6 - 42:73.659, 1(Clear)(-0)
6 - 43:73.717, 1(Clear)(-0)
6 - 44:73.711, 1(Clear)(-0)
6 - 45:73.611, 1(Clear)(-0)
6 - 46:73.618, 1(Clear)(-0)
6 - 47:73.82, 1(Clear)(-0)
6 - 48:74.20399, 1(Clear)(-0)
6 - 49:78.16199, 2(Clear)(-0)
6 - 51:96.22199, 0(Clear)(-0)
6 - 52:72.004, 1(Clear)(-0)
6 - 53:71.739, 1(Clear)(-0)
6 - 54:71.779, 1(Clear)(-0)
6 - 55:71.80901, 1(Clear)(-0)
6 - 56:71.742, 1(Clear)(-0)
6 - 57:71.715, 1(Clear)(-0)
6 - 58:71.83801, 1(Clear)(-0)
6 - 59:72.256, 1(Clear)(-0)
6 - 60:72.364, 1(Clear)(-0)
6 - 61:71.905, 1(Clear)(-0)
6 - 62:71.68999, 1(Clear)(-0)
6 - 63:75.81801, 1(Clear)(-0)
6 - 64:72.012, 1(Clear)(-0)
6 - 65:72.09299, 1(Clear)(-0)
6 - 66:72.13, 1(Clear)(-0)
6 - 67:71.916, 1(Clear)(-0)
6 - 68:71.835, 1(Clear)(-0)
6 - 69:71.689, 1(Clear)(-0)
6 - 70:71.962, 1(Clear)(-0)
0 - 70:0, 1(Clear)(-1)
KVYAT
7 - 0:105.154, 2(Clear)(-0)
7 - 1:142.352, 0(Clear)(-0)
7 - 2:123.127, 1(Clear)(-0)
7 - 3:119.807, 1(Clear)(-0)
7 - 4:111.958, 1(Clear)(-0)
7 - 5:100.62, 1(Clear)(-0)
7 - 6:77.964, 1(Clear)(-0)
7 - 7:75.85901, 1(Clear)(-0)
7 - 8:75.286, 1(Clear)(-0)
7 - 9:74.788, 1(Clear)(-0)
7 - 10:75.424, 1(Clear)(-0)
7 - 11:74.895, 1(Clear)(-0)
7 - 12:74.768, 1(Clear)(-0)
7 - 13:74.49599, 1(Clear)(-0)
7 - 14:74.268, 1(Clear)(-0)
7 - 15:74.627, 1(Clear)(-0)
7 - 16:74.885, 1(Clear)(-0)
7 - 17:74.278, 1(Clear)(-0)
7 - 18:74.172, 1(Clear)(-0)
7 - 19:74.147, 1(Clear)(-0)
7 - 20:74.151, 1(Clear)(-0)
7 - 21:74.074, 1(Clear)(-0)
7 - 22:74.173, 1(Clear)(-0)
7 - 23:74.145, 1(Clear)(-0)
7 - 24:74.20599, 1(Clear)(-0)
7 - 25:74.005, 1(Clear)(-0)
7 - 26:74.69099, 1(Clear)(-0)
7 - 27:74.038, 1(Clear)(-0)
7 - 28:75.201, 1(Clear)(-0)
7 - 29:74.27299, 1(Clear)(-0)
7 - 30:75.113, 1(Clear)(-0)
7 - 31:74.462, 1(Clear)(-0)
